State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
United States,0.607,0.601,0.554,"123,535,883","122,294,978","203,483,455","220,336,019",0.082,"1,490,169","2,387,283","474,632","3,158,443","3,862,836"
Alabama,0.574,0.572,0.552,"1,890,317","1,883,415","3,292,608","3,427,542",0.019,"26,521","36,795","7,745","52,664",
Alaska,0.696,0.691,0.652,"314,502","312,598","452,124","476,378",0.04,"4,515","5,547",951,"8,240",
Arizona,0.548,0.541,0.47,"2,038,069","2,012,585","3,717,055","4,215,706",0.115,"31,631","69,343","5,671","71,974",
Arkansas,0.544,0.536,0.51,"1,070,573","1,054,945","1,969,208","2,072,986",0.028,"13,477","29,128","14,844","42,885",
California,0.596,0.588,0.471,"12,589,367","12,421,852","21,132,533","26,246,548",0.188,"166,053",0,"110,261","276,314",
Colorado,0.673,0.667,0.612,"2,148,036","2,129,630","3,192,647","3,443,164",0.075,"19,756",0,"7,383","27,139",
Connecticut,0.662,0.65,0.597,"1,607,808","1,578,769","2,429,634","2,652,587",0.073,"20,018",0,"2,552","22,570",
Delaware,0.645,0.642,0.594,"377,407","375,190","584,817","635,370",0.047,"6,973","18,725",539,"16,875",
District of Columbia,0.549,0.543,0.489,"230,105","227,586","419,142","458,758",0.1,0,0,0,0,
Florida,0.647,0.644,0.561,"7,640,319","7,609,810","11,811,921","13,643,828",0.112,"84,733","281,170","4,888","230,206",
Georgia,0.564,0.562,0.5,"3,317,336","3,301,875","5,878,186","6,499,325",0.068,"48,625","419,350","23,344","281,644",
Hawaii,0.485,0.482,0.441,"431,662","429,013","889,540","982,882",0.079,"5,946",0,0,"5,946",
Idaho,0.648,0.632,0.587,"612,786","598,376","946,160","1,016,255",0.041,"6,312","44,580","2,370","30,972",
Illinois,0.624,0.615,0.557,"5,350,493","5,274,322","8,576,696","9,391,420",0.09,"44,379",0,0,"44,379",
Indiana,0.558,0.548,0.53,"2,512,142","2,468,002","4,504,260","4,660,157",0.027,"23,760",0,0,"23,760",
Iowa,0.706,0.699,0.674,"1,521,966","1,506,908","2,156,389","2,239,979",0.026,"8,611","22,832","3,317","23,344",
Kansas,0.629,0.616,0.583,"1,213,108","1,187,756","1,928,764","2,032,763",0.043,"9,152","14,309","4,525","20,832",
Kentucky,0.594,0.587,0.569,"1,816,867","1,795,860","3,057,741","3,157,464",0.017,"17,763","33,286","8,006","42,412",
Louisiana,0.615,0.611,0.585,"1,956,590","1,943,106","3,182,762","3,379,937",0.018,"36,745","38,470","24,387","80,367",
Maine,0.749,0.738,0.726,"751,519","740,752","1,003,792","1,022,043",0.016,0,0,0,0,
Maryland,0.631,0.629,0.572,"2,395,791","2,386,705","3,797,264","4,179,376",0.072,"23,727","76,676","14,351","76,416",
Massachusetts,0.646,0.642,0.587,"2,927,455","2,912,388","4,533,859","4,935,787",0.084,"10,365",0,0,"10,365",
Michigan,0.671,0.666,0.639,"4,875,692","4,839,252","7,263,024","7,508,568",0.034,"48,591",0,0,"48,591",
Minnesota,0.788,0.784,0.739,"2,842,912","2,828,387","3,609,185","3,819,020",0.039,"8,613","114,226","3,872","69,598",
Mississippi,,0.557,0.542,,"1,152,365","2,068,766","2,133,681",0.012,"20,429","21,324","1,979","33,070",
Missouri,0.661,0.653,0.629,"2,764,635","2,731,364","4,180,960","4,339,414",0.019,"30,775","53,832","17,400","75,091",
Montana,0.652,0.644,0.634,"456,096","450,445","699,114","711,858",0.01,"3,800",0,0,"3,800",
Nebraska,0.641,0.629,0.598,"792,906","778,186","1,236,522","1,305,430",0.04,"4,042","17,994",805,"13,844",
Nevada,0.554,0.553,0.473,"831,563","829,587","1,501,437","1,776,962",0.132,"10,971","12,521","3,610","20,842",
New Hampshire,0.715,0.709,0.684,"683,672","677,738","956,422","984,422",0.032,"2,441",0,0,"2,441",
New Jersey,0.642,0.638,0.552,"3,638,153","3,611,691","5,663,201","6,513,394",0.117,"28,107","143,315","14,180","113,945",
New Mexico,0.604,0.59,0.539,"775,301","756,304","1,282,767","1,411,419",0.074,"6,341","17,725","2,676","17,880",
New York,0.585,0.58,0.502,"7,448,266","7,391,249","12,738,056","14,598,898",0.126,"64,596",0,"54,524","119,120",
North Carolina,0.587,0.578,0.539,"3,552,449","3,501,007","6,055,771","6,505,150",0.053,"34,917","111,537","2,882","93,568",
North Dakota,0.655,0.648,0.638,"316,049","312,833","482,722","496,479",0.013,"1,266",0,0,"1,266",
Ohio,0.679,0.668,0.651,"5,722,443","5,627,908","8,427,696","8,624,277",0.02,"44,770",0,0,"44,770",
Oklahoma,,0.583,0.553,,"1,463,758","2,510,823","2,649,994",0.034,"24,767","28,435","4,329","43,314",
Oregon,0.726,0.72,0.668,"1,851,671","1,836,782","2,550,887","2,736,472",0.068,"13,219",0,0,"13,219",
