actual_result_2012,af_am_r_share,af_am_turnout_2012,af_am_vep_2012,af_am_vep_2016,af_am_vep_total_2016,az_plus_other_r_share,az_plus_other_turnout_2012,az_plus_other_vep_2012,az_plus_other_vep_2016,az_plus_other_vep_total_2016,calculated_result_2012,calculated_result_2016,code,electoral_votes,error_2012,hisp_r_share,hisp_turnout_2012,hisp_vep_2012,hisp_vep_2016,hisp_vep_total_2016,overall_percent_af_am_2016,overall_percent_az_plus_other_2016,overall_percent_hisp_2016,overall_percent_white_2016,projected_2016_population,state,state_short,white_r_share,white_turnout_2012,white_vep_2012,white_vep_2016,white_vep_total_2016
0.612162285,0.04040404,0.624308212,0.26,0.2588938,942173,0.395833333,0.579714768,0.02,0.0222985,81149,0.601709699,0.59744406,1,9,-0.010452586,0.275510204,0.579714768,0.02,0.023156,84270,0.0336,0.0055,0.003,0.0162,3639224,Alabama,AL,0.848484848,0.555219778,0.71,0.6956517,2531632
0.573152905,0.04040404,0.561392128,0.03,0.0318808,17281,0.452685753,0.331731712,0.22,0.256509,139039,0.5963878,0.583891017,3,3,0.023234895,0.316326531,0.842088192,0.04,0.0525218,28469,0.0006,0.0094,0.001,0.0023,542043,Alaska,AK,0.663265306,0.625551228,0.7,0.6590884,357254
0.546133802,0.060606061,0.51537346,0.04,0.0393891,185197,0.329229798,0.29449912,0.07,0.0769044,361584,0.559415327,0.55132041,1,11,0.013281524,0.252525253,0.403335752,0.23,0.2444279,1149234,0.0066,0.0245,0.0411,0.0192,4701732,Arizona,AZ,0.673469388,0.569218449,0.67,0.6392786,3005717
0.621544054,0.07020202,0.370492529,0.16,0.1599148,344459,0.31315995,0.493990038,0.03,0.0310179,66813,0.62394149,0.617659405,2,6,0.002397436,0.275510204,0.658653384,0.03,0.0402015,86595,0.0123,0.0045,0.0031,0.0106,2154013,Arkansas,AR,0.734693878,0.512989655,0.78,0.7688658,1656147
0.381271888,0.03030303,0.612999308,0.07,0.0662705,1668086,0.252127159,0.536374395,0.14,0.1552123,3906828,0.399162651,0.391714742,1,55,0.017890762,0.272727273,0.453855257,0.26,0.2853752,7183141,0.0595,0.2646,0.2566,0.0794,25170866,California,CA,0.540816327,0.567319071,0.52,0.493142,12412811
0.472520117,0.060606061,0.512016169,0.04,0.0365482,144312,0.329229798,0.853360281,0.04,0.0464742,183505,0.480932733,0.474349738,1,9,0.008412616,0.234693878,0.637175677,0.15,0.1707236,674108,0.0052,0.0124,0.0241,0.0189,3948536,Colorado,CO,0.551020408,0.691554306,0.77,0.746254,2946611
0.412274225,0.07,0.740260554,0.09,0.0902874,235755,0.30702862,0.454250795,0.04,0.044329,115750,0.41622462,0.412009914,1,7,0.003950395,0.202020202,0.363400636,0.1,0.1167722,304911,0.0084,0.0078,0.0109,0.0125,2611157,Connecticut,CT,0.484848485,0.621399355,0.77,0.7486114,1954742
0.405530451,0.03020202,0.522641461,0.2,0.2088741,146527,0.326905654,0.614872307,0.03,0.036032,25277,0.405012042,0.399074405,2,3,-0.000518409,0.275510204,0.491897846,0.05,0.0604033,42373,0.0052,0.0017,0.0015,0.0031,701508,Delaware,DE,0.5,0.649513001,0.71,0.6946906,487331
0.074123508,0.03,0.638169812,0.53,0.5161191,261915,0.340206186,0.241592857,0.05,0.0539093,27357,0.083956728,0.087298226,3,3,0.00983322,0.316326531,0.503318453,0.06,0.0708375,35948,0.0093,0.0019,0.0013,0.0012,507471,District of Columbia,DC,0.12244898,0.587204862,0.36,0.3591341,182250
0.495577479,0.04040404,0.57849983,0.14,0.1382515,2000897,0.330292723,0.830666423,0.03,0.0350218,506866,0.49749975,0.49279259,1,29,0.001922271,0.393939394,0.622999817,0.17,0.1817269,2630111,0.0714,0.0343,0.094,0.0597,14472879,Florida,FL,0.62244898,0.622999817,0.67,0.6449998,9335004
0.539566491,0.04020202,0.56455241,0.31,0.3150726,2178380,0.320032802,0.388913883,0.03,0.0391483,270667,0.54427507,0.533347864,2,16,0.004708579,0.275510204,0.583370824,0.04,0.0508794,351775,0.0778,0.0183,0.0126,0.0263,6913897,Georgia,GA,0.808493094,0.602497736,0.61,0.5948997,4113075
0.282961515,0.060606061,0.217619821,0.02,0.0172362,17950,0.238468849,0.323132461,0.66,0.6613329,688704,0.272170187,0.271886744,2,4,-0.010791328,0.275510204,0.559593824,0.07,0.0792942,82576,0.0006,0.0466,0.0029,0.0016,1041388,Hawaii,HI,0.319166842,0.67897384,0.25,0.2421367,252158
0.664213868,0.060606061,0.58062323,0.01,0.0051227,5968,0.299414246,0.435467423,0.04,0.0428419,49910,0.655016201,0.653758333,2,4,-0.009197667,0.275510204,0.58062323,0.07,0.0769782,89679,0.0002,0.0034,0.0032,0.0065,1164991,Idaho,ID,0.704081633,0.574099374,0.89,0.8750572,1019434
