group,growth_rate,state_code
white,0.00554795095652,AL
other,0.0639331758228,AL
black,0.0238724851513,AL
hispanic,0.0190919037199,AL
white,0.0105831313073,AK
other,0.0352412685191,AK
black,0.124178356713,AK
hispanic,0.140233763104,AK
white,0.0141373334382,AZ
other,0.0607485501956,AZ
black,0.0631156210089,AZ
hispanic,0.0551030031752,AZ
white,0.00377933921017,AR
other,0.0695311138226,AR
black,0.0188925896103,AR
hispanic,0.0605223821887,AR
white,0.00227767679207,CA
other,0.0533211310709,CA
black,0.0201645027798,CA
hispanic,0.0454938048021,CA
white,0.0262449445999,CO
other,0.0720337893674,CO
black,0.0554521527787,CO
hispanic,0.0508447800359,CO
white,-0.00569399931651,CT
other,0.067622749408,CT
black,0.0334918293024,CT
hispanic,0.0656876825772,CT
white,0.0126174584026,DE
other,0.0822129318526,DE
black,0.0379048847551,DE
hispanic,0.0651795389157,DE
white,0.0486383823113,DC
other,0.0696366177499,DC
black,0.021260306482,DC
hispanic,0.0853187316751,DC
white,0.0111661018126,FL
other,0.0736513708139,FL
black,0.0468124485032,FL
hispanic,0.0610313681275,FL
white,0.0115577194568,GA
other,0.0794943302703,GA
black,0.0383134320184,GA
hispanic,0.0392210881587,GA
white,0.0275910759672,HI
other,0.0100692167373,HI
black,0.190222293172,HI
hispanic,0.0805302804707,HI
white,0.0164670344205,ID
other,0.0610350859142,ID
black,0.104417780202,ID
hispanic,0.0632805226829,ID
white,-0.00266717323349,IL
other,0.0604997770815,IL
black,0.0150089670991,IL
hispanic,0.0411791931512,IL
white,0.00572124579531,IN
other,0.0905303100303,IN
black,0.0303014560183,IN
hispanic,0.0552710956376,IN
white,0.00454417175177,IA
other,0.0936523142079,IA
black,0.0708739429292,IA
hispanic,0.0711132474524,IA
white,0.00307100252351,KS
other,0.0644172157973,KS
black,0.0328160572785,KS
hispanic,0.0525006372165,KS
white,0.00629595640991,KY
other,0.0764639678838,KY
black,0.0343338809476,KY
hispanic,0.0480586413738,KY
white,0.00676823602505,LA
other,0.0628191764337,LA
black,0.0248201659321,LA
hispanic,0.0633713242239,LA
white,0.00440109727442,ME
other,0.0556519990616,ME
black,0.0893316875331,ME
hispanic,0.0972486772487,ME
white,0.00485886479742,MD
other,0.068271791646,MD
black,0.0305664324492,MD
hispanic,0.0670411706613,MD
white,0.00517876121429,MA
other,0.07825287082,MA
black,0.0511984648451,MA
hispanic,0.0776567387871,MA
white,0.00358365377315,MI
other,0.067194794487,MI
black,0.0112029618353,MI
hispanic,0.0551408502575,MI
white,0.00939649313579,MN
other,0.0751415288044,MN
black,0.0656328846739,MN
hispanic,0.053319644488,MN
white,0.00229047286538,MS
other,0.0664535836385,MS
black,0.0225573339629,MS
hispanic,0.0312320387207,MS
white,0.00498973914368,MO
other,0.062768126296,MO
black,0.0216120764426,MO
hispanic,0.0595139245845,MO
white,0.013751944204,MT
other,0.0428031715662,MT
black,0.204187946885,MT
hispanic,0.109151458639,MT
white,0.00703817859201,NE
other,0.0796708088075,NE
black,0.0371167169424,NE
hispanic,0.0680562966332,NE
white,0.00273183717038,NV
other,0.0661610012478,NV
black,0.0626304136239,NV
hispanic,0.0593019354468,NV
white,0.00719525956492,NH
other,0.0719013047138,NH
black,0.123545150502,NH
hispanic,0.104730035902,NH
white,-0.00678119399676,NJ
other,0.0632822395263,NJ
black,0.02067670031,NJ
hispanic,0.0511248301897,NJ
white,-0.00952243303376,NM
other,0.0336021802808,NM
black,0.0376536053791,NM
hispanic,0.0314410417674,NM
white,-0.000529669816776,NY
other,0.0585145445706,NY
black,0.0207899411046,NY
hispanic,0.040664190009,NY
white,0.016475505194,NC
other,0.0773542113107,NC
black,0.0336502885223,NC
hispanic,0.0462873438151,NC
white,0.0316863845842,ND
other,0.0667698019802,ND
black,0.22110395943,ND
hispanic,0.216882494005,ND
white,0.00131210334026,OH
other,0.0702581458889,OH
black,0.0200635867993,OH
hispanic,0.06385052291,OH
white,0.00578066863561,OK
other,0.0435429284153,OK
black,0.0305356852932,OK
hispanic,0.0677572041479,OK
white,0.011884568662,OR
other,0.065336536504,OR
black,0.0468229839629,OR
hispanic,0.0589457853683,OR
white,-0.000404969669254,PA
other,0.0707429705218,PA
black,0.0238585593025,PA
hispanic,0.0768993691216,PA
white,-0.00730283652058,RI
other,0.0646800807631,RI
black,0.0337648254829,RI
hispanic,0.0661404094686,RI
white,0.0215781928519,SC
other,0.0803459516004,SC
black,0.023300500335,SC
hispanic,0.0388101044059,SC
white,0.0132820634041,SD
other,0.0474440149294,SD
black,0.27100729927,SD
hispanic,0.167942688396,SD
white,0.0126139486956,TN
other,0.0785392569692,TN
black,0.0344608473276,TN
hispanic,0.0453463165711,TN
white,0.0158983043214,TX
other,0.086490061284,TX
black,0.0500278549139,TX
hispanic,0.0527152420476,TX
white,0.0266567444775,UT
other,0.0775275205312,UT
black,0.0955013231403,UT
hispanic,0.0579968159253,UT
white,0.00422618523226,VT
other,0.0632251336201,VT
black,0.096683831102,VT
hispanic,0.1049396541,VT
white,0.01160557678,VA
other,0.0754061531105,VA
black,0.0256482747935,VA
hispanic,0.0719534903215,VA
white,0.0126956315465,WA
other,0.0670345947393,WA
black,0.0696856077417,WA
hispanic,0.0638342309407,WA
white,-0.00144768298542,WV
other,0.0706192268218,WV
black,0.0264265917088,WV
hispanic,0.104220480951,WV
white,0.00600381348259,WI
other,0.0696485588247,WI
black,0.0276161169575,WI
hispanic,0.0538913590995,WI
white,0.00990125301669,WY
other,0.0664202162878,WY
black,0.505325057171,WY
hispanic,0.0886659016306,WY
